airline_name,airline_iata,id
United Airlines,UA,0
S7 Airlines,S7,1
American Airlines,AA,2
Air France,AF,3
LOT Polish Airlines,LO,4
Republic Airline,YX,5
Alaska Airlines,AS,6
Delta Air Lines,DL,7
KLM,KL,8
Royal Jordanian,RJ,9
Air Canada,AC,10
Jazz Aviation,QK,11
Discovery Airways,DO,12
Aerolíneas Argentinas,AR,13
JetBlue,B6,14
Airlink,4Z,15
Hunnu Air,MR,16
Finnair,AY,17
Lufthansa Cargo,LH,18
AeroMexico,AM,19
Azerbaijan Airlines,J2,20
Swiss International Air Lines,LX,21
,MX,22
Air Burkina,2J,23
Conviasa,V0,24
TAP Portugal,TP,25
Kenya Airways,KQ,26
Binter Canarias,NT,27
Royal Air Maroc,AT,28
Air Cairo,SM,29
Air Dolomiti,EN,30
Air Go Egypt,EO,31
Aeroméxico Connect,5D,32
Widerøe,WF,33
Scandinavian Airlines,SK,34
Azul Brazilian Airlines,AD,35
Austrian Airlines,OS,36
Air Serbia,JU,37
Belavia,B2,38
Interjet,4O,39
Arkia,IZ,40
Porter Airlines,PD,41
Helvetic Airways,2L,42
TUIfly Belgium,TB,43
Aerolineas Sosa,P4,44
Corporate Flight Management,LF,45
Delux Public Charter,XE,46
Sunrise Airways,S6,47
InterCaribbean Airways,JY,48
Aerogaviota,KG,49
Loganair,LM,50
Piedmont Airlines,PT,51
Fastjet,FN,52
,WU,53
SATENA,9R,54
Africa World Airlines,AW,55
