airport_name,airport_iata,airport_icao,airport_latitude,airport_longitude,airport_region_name,airport_country_code,id
Sarasota-Bradenton International Airport,SRQ,KSRQ,27.3954,-82.5544,Florida,US,0
Tolmachevo Airport,OVB,UNNT,55.0126,82.6507,Novosibirskaya oblast',RU,1
Dallas/Fort Worth International Airport,DFW,KDFW,32.8968,-97.038,Texas,US,2
Chicago O'Hare International Airport,ORD,KORD,41.9786,-87.9047,Illinois,US,3
Newcastle Airport,NCL,EGNT,55.0375,-1.69167,England,GB,4
Greater Rochester International Airport,ROC,KROC,43.1189,-77.6724,New York,US,5
Toronto Pearson International Airport,YYZ,CYYZ,43.6797,-79.6227,Ontario,CA,6
Newark Liberty International Airport,EWR,KEWR,40.6925,-74.1686,New Jersey,US,7
Memphis International Airport,MEM,KMEM,35.0424,-89.9767,Tennessee,US,8
Zagreb Airport,ZAG,LDZA,45.7429,16.0688,Grad Zagreb,HR,9
Nashville International Airport,BNA,KBNA,36.1245,-86.6782,Tennessee,US,10
John Paul II International Airport Krakow-Balice,KRK,EPKK,50.0777,19.7848,Malopolskie,PL,11
Miami International Airport,MIA,KMIA,25.7932,-80.2906,Florida,US,12
Washington Dulles International Airport,IAD,KIAD,38.9445,-77.4558,Virginia,US,13
Kansas City International Airport,MCI,KMCI,39.2976,-94.7139,Missouri,US,14
Will Rogers World Airport,OKC,KOKC,35.3931,-97.6007,Oklahoma,US,15
LaGuardia Airport,LGA,KLGA,40.775,-73.875,New York,US,16
Lyon-Saint-Exupery Airport,LYS,LFLL,45.7256,5.08111,Auvergne-Rhone-Alpes,FR,17
Indianapolis International Airport,IND,KIND,39.7173,-86.2944,Gujarat,IN,18
Katowice International Airport,KTW,EPKT,50.4743,19.08,Slaskie,PL,19
San Francisco International Airport,SFO,KSFO,37.619,-122.375,California,US,20
Portland International Airport,PDX,KPDX,45.5887,-122.598,Oregon,US,21
Ronald Reagan Washington National Airport,DCA,KDCA,38.8522,-77.0378,Virginia,US,22
Spokane International Airport,GEG,KGEG,47.6199,-117.534,Washington,US,23
Seattle-Tacoma International Airport,SEA,KSEA,47.449,-122.309,Washington,US,24
George Bush Intercontinental Airport,IAH,KIAH,29.9844,-95.3414,Texas,US,25
Paine Field (Snohomish County Airport),PAE,KPAE,47.9063,-122.282,Washington,US,26
Austin-Bergstrom International Airport,AUS,KAUS,30.1945,-97.6699,Texas,US,27
Denver International Airport,DEN,KDEN,39.8617,-104.673,Colorado,US,28
Palm Springs International Airport,PSP,KPSP,33.8297,-116.507,California,US,29
Los Angeles International Airport,LAX,KLAX,33.9425,-118.408,California,US,30
Sioux Falls Regional Airport (Joe Foss Field),FSD,KFSD,43.582,-96.7419,South Dakota,US,31
Salt Lake City International Airport,SLC,KSLC,40.7884,-111.978,Utah,US,32
