flight_id,heading,altitude,ground_speed,aircraft_code,origin_airport,destination_airport,airline_iata,onground,latitude,longitude,aircraft_model,aircraft_country_id,aircraft_type,time
334bfb42,272,32000,393,E170,LGA,OMA,DL,0,41.407,-87.5652,Embraer E170LR,236,E170,1703016158
334c0b20,200,30000,400,E170,DFW,AGU,AA,0,24.3279,-101.4204,Embraer E170LR,236,E170,1703016158
334c0bf3,5,0,0,E170,FAR,ORD,AA,1,41.9769,-87.8989,Embraer E170LR,236,E170,1703016093
334c10e3,278,30000,378,E170,EWR,ORD,AA,0,42.8393,-84.1546,Embraer E170STD,236,E170,1703016159
334c142b,323,34000,416,E170,CDG,NCL,AF,0,51.7562,0.4092,Embraer E170STD,76,E170,1703016160
334c185c,298,30400,375,E170,BWI,ORD,AA,0,41.101,-85.5912,Embraer E170SE,236,E170,1703016157
334c1c64,262,32000,407,E170,ALB,ORD,AA,0,42.9614,-83.8028,Embraer E170LR,236,E170,1703016159
334c1cd2,89,34525,414,E170,OVB,KJA,S7,0,56.1925,91.6471,Embraer E170SU,182,E170,1703016041
334c1eaf,88,34675,464,E170,ORD,HPN,AA,0,42.4973,-77.6139,Embraer E170SE,236,E170,1703016158
334c2407,40,900,139,E170,DCA,LGA,DL,0,40.7358,-73.838,Embraer E170SU,236,E170,1703016160
334c2a00,47,35000,456,E170,DFW,CMI,AA,0,36.9704,-93.154,Embraer E170STD,236,E170,1703016158
334c2c43,214,32000,417,E170,EWR,EYW,UA,0,37.4763,-76.2774,Embraer E170SE,236,E170,1703016158
334c2c81,326,34000,357,E170,CHS,ORD,AA,0,36.9013,-82.9321,Embraer E170STD,236,E170,1703016159
334c2d60,51,33000,484,E170,OKC,ORD,AA,0,38.3481,-92.8532,Embraer E170STD,236,E170,1703016158
334c2f92,136,8200,264,E170,RNS,LYS,AF,0,45.684,4.7326,Embraer E170STD,76,E170,1703016158
334c30d6,13,5425,287,E170,BUD,WAW,LO,0,51.8016,21.0181,Embraer E170STD,176,E170,1703016160
334c39fe,93,19075,374,E170,OVB,IKT,S7,0,54.8436,85.4922,Embraer E170SU,182,E170,1703016161
334c4067,23,26000,466,E170,LYS,SXB,AF,0,47.417,6.2388,Embraer E170STD,76,E170,1703016159
334c4106,246,24000,342,E170,DUS,CDG,AF,0,50.751,4.527,Embraer E170STD,76,E170,1703016160
334c4513,261,32650,366,E170,WAW,FRA,LO,0,52.0534,18.8748,Embraer E170STD,176,E170,1703016159
334c454d,251,31175,357,E170,WAW,MUC,LO,0,51.8313,19.118,Embraer E170STD,176,E170,1703016159
334c46a9,88,27350,476,E170,ORD,BUF,AA,0,42.1061,-86.2915,Embraer E170SU,236,E170,1703016157
334c4995,174,6725,288,E170,YYZ,IAD,UA,0,43.5208,-79.7054,Embraer E170SE,236,E170,1703016160
334c4de6,69,27000,510,E170,CDG,FRA,AF,0,49.2579,4.7075,Embraer E170STD,76,E170,1703016158
334c500a,270,0,12,E170,EYW,LGA,DL,1,24.5552,-81.7629,Embraer E170LR,236,E170,1703016159
334c533b,90,0,16,E170,ORD,YUL,UA,1,41.9704,-87.9078,Embraer E170SE,236,E170,1703016160
334c5719,126,0,7,E170,LYS,BIQ,AF,1,45.7167,5.0847,Embraer E170STD,76,E170,1703016158
334c5775,174,0,12,E170,LYS,BES,AF,1,45.7129,5.0854,Embraer E170STD,76,E170,1703016160
334b8347,144,1000,60,E75L,IAH,OMA,UA,0,41.3041,-95.8969,Embraer E175LR,236,E75L,1703016155
334bcdba,240,34000,422,E75L,LGA,IAH,UA,0,31.8431,-91.3185,Embraer E175LR,236,E75L,1703016159
334bd079,339,2400,128,E75L,DEN,AVL,UA,0,35.3993,-82.5256,Embraer E175LL,236,E75L,1703016159
334bd119,87,0,0,E75L,DEN,GSP,UA,1,34.8894,-82.2191,Embraer E175LL,236,E75L,1703016085
334bd451,151,0,0,E75L,DFW,BIL,AA,1,45.8045,-108.5389,Embraer E175LR,236,E75L,1703016135
334bd48e,261,1475,189,E75L,DCA,EYW,AA,0,24.472,-81.8463,Embraer E175LR,236,E75L,1703016159
334bd740,342,34000,431,E75L,DEN,YEG,UA,0,46.4788,-107.7774,Embraer E175LR,236,E75L,1703016157
334bddd6,241,0,0,E75L,ORD,JFK,DL,1,40.6409,-73.7779,Embraer E175LR,236,E75L,1703016156
334be4a1,336,11300,306,E75L,MIA,STL,AA,0,38.43,-90.238,Embraer E175LR,236,E75L,1703016159
334be643,85,35000,460,E75L,LAX,TUL,AA,0,36.0097,-99.3976,Embraer E175LR,236,E75L,1703016159
334be86d,233,34000,418,E75L,IAD,AUS,UA,0,33.9715,-93.3404,Embraer E175LR,236,E75L,1703016158
334be871,90,0,19,E75L,DEN,HSV,UA,1,34.645,-86.7755,Embraer E175LR,236,E75L,1703016159
334bec5e,63,35000,485,E75L,LAX,OMA,AA,0,39.9608,-101.0557,Embraer E175LR,236,E75L,1703016157
334bed7e,130,8325,318,E75L,MIA,EIS,AA,0,18.6758,-65.2176,Embraer E175LR,236,E75L,1703016158
334beddd,102,37000,436,E75L,SJC,AUS,AS,0,31.9382,-106.9205,Embraer E175LR,236,E75L,1703016159
334bee1d,89,35000,458,E75L,LAX,OKC,AA,0,35.2324,-101.1414,Embraer E175LR,236,E75L,1703016159
334bf1ed,48,2825,221,E75L,IAH,DSM,UA,0,41.567,-93.9246,Embraer E175LR,236,E75L,1703016158
334bf233,100,27350,444,E75L,OMA,LGA,AA,0,41.066,-76.9819,Embraer E175LR,236,E75L,1703016158
334bf3b0,151,12050,283,E75L,SEA,SJC,DL,0,37.6084,-122.37,Embraer E175LL,236,E75L,1703016159
334bf4fb,242,28000,415,E75L,RDU,AUS,AA,0,31.1271,-93.3384,Embraer E175LR,236,E75L,1703016160
334bf8f5,260,28000,332,E75L,VKO,MSQ,B2,0,55.3435,33.2791,Embraer E175LR,21,E75L,1703016161
334bf94a,281,0,1,E75L,PHX,SMF,AA,1,38.6929,-121.586,Embraer E175LR,236,E75L,1703016148
334bf99d,248,32000,431,E75L,RDU,IAH,UA,0,31.2205,-92.6038,Embraer E175LR,236,E75L,1703016159
